Post,Ambassador,Career/Political,Status
Afghanistan,NOMINATED: John R. Bass,Career,nominated 7/27/17
African Union,Mary Beth Leonard,Career,confirmed 6/29/16
Albania,Donald Lu,Career,confirmed 11/20/14
Algeria,John Desrocher,Career,confirmed 8/3/17
Angola,Helen M. La Lime,Career,confirmed 5/15/14
Argentina,VACANT,,
Armenia,Richard Mills,Career,confirmed 12/16/14
ASEAN,VACANT,,
Australia,VACANT,,
Austria,VACANT,,
Azerbaijan,Robert F. Cekuta,Career,confirmed 12/16/14
Bahamas,NOMINATED: Doug Manchester,Political,nominated 5/16/17
Bahrain,NOMINATED: Justin Siberell,Career,nominated 7/27/17
Bangladesh,Marcia Bernicat,Career,confirmed 11/18/14
Barbados,Linda Taglialatela,Political/CS,confirmed 12/9/15
Belarus,VACANT*,,
Belgium,VACANT,,
Belize,VACANT,,
Benin,Lucy Tamlyn,Career,confirmed 10/8/15
Bolivia,VACANT*,,
Bosnia and Herzegovina,Maureen Cormack,Career,confirmed 11/19/14
Botswana,Earl Robert Miller,Career,confirmed 11/19/14
Brazil,P. Michael McKinley,Career,confirmed 9/15/16
Brunei Darussalam,Craig B. Allen,Career,confirmed 11/18/14
Bulgaria,Eric Seth Rubin,Career,confirmed 12/9/15
Burkina Faso,Andrew R. Young,Career,confirmed 9/28/16
Burma,Scot Marciel,Career,confirmed 2/9/16
Burundi,Anne S. Casper,Career,confirmed 6/29/16
Cabo Verde,Donald Heflin,Career,confirmed 12/12/14
Cambodia,William Heidt,Career,confirmed 8/5/15
Cameroon,NOMINATED: Peter Barlerin,Career,nominated 7/19/17
Canada,Kelly Knight Craft,Political,confirmed 8/3/17
Central African Republic,"Jeffrey J. Hawkins, Jr.",Career,confirmed 10/8/15
Chad,Geeta Pasi,Career,confirmed 6/29/16
Chile,Carol Z. Perez,Career,confirmed 7/14/16
China,Terry Branstad,Political,confirmed 5/22/17
Colombia,Kevin Whitaker,Career,confirmed 4/1/14
Congo (DR),VACANT,,
Congo (Republic of),Todd Haskell,Career,confirmed 5/18/17
Costa Rica,Sharon Day,Political,confirmed 8/3/17
Côte d'Ivoire,VACANT,,
Croatia,Julieta Valls Noyes,Career,confirmed 6/24/15
Cuba,VACANT,,
Cyprus,Kathleen Ann Doherty,Career,confirmed 8/5/15
Czech Republic,NOMINATED: Stephen B. King,Political,nominated 7/11/17
Denmark,VACANT,,
Djibouti,VACANT,,
Dominican Republic,VACANT,,
Ecuador,Todd C. Chapman,Career,confirmed 12/9/15
Egypt,VACANT,,
El Salvador,Jean Elizabeth Manes,Career,confirmed 12/9/15
